2023-09-11 17:19:34	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet26', model_adaptation_method='rotta', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-snow-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='snow', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1.0)], test_case=TestCase(inter_domain=HeterogeneousNoMixture(has_mixture=False, non_iid_pattern='class_wise_over_domain', non_iid_ness=0.1), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2023-09-11 17:19:56		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:19:57		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:19:57		initialize selection method=last_iterate.
2023-09-11 17:19:57		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:19:59		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:19:59		initialize selection method=last_iterate.
2023-09-11 17:19:59		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:01		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:01		initialize selection method=last_iterate.
2023-09-11 17:20:01		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:02		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:02		initialize selection method=last_iterate.
2023-09-11 17:20:02		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:03		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:03		initialize selection method=last_iterate.
2023-09-11 17:20:03		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:05		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:05		initialize selection method=last_iterate.
2023-09-11 17:20:05		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:06		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:06		initialize selection method=last_iterate.
2023-09-11 17:20:06		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:08		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:08		initialize selection method=last_iterate.
2023-09-11 17:20:08		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:09		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:09		initialize selection method=last_iterate.
2023-09-11 17:20:09		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:11		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:11		initialize selection method=last_iterate.
2023-09-11 17:20:11		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:12		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:12		initialize selection method=last_iterate.
2023-09-11 17:20:12		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:13		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:13		initialize selection method=last_iterate.
2023-09-11 17:20:13		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:14		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:14		initialize selection method=last_iterate.
2023-09-11 17:20:14		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:16		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:16		initialize selection method=last_iterate.
2023-09-11 17:20:16		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:17		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:17		initialize selection method=last_iterate.
2023-09-11 17:20:17		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:18		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:18		initialize selection method=last_iterate.
2023-09-11 17:20:18		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:20		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:20		initialize selection method=last_iterate.
2023-09-11 17:20:20		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:21		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:21		initialize selection method=last_iterate.
2023-09-11 17:20:21		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:22		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:22		initialize selection method=last_iterate.
2023-09-11 17:20:22		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:24		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:24		initialize selection method=last_iterate.
2023-09-11 17:20:24		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:25		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:25		initialize selection method=last_iterate.
2023-09-11 17:20:25		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:26		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:26		initialize selection method=last_iterate.
2023-09-11 17:20:26		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:28		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:28		initialize selection method=last_iterate.
2023-09-11 17:20:28		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:29		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:29		initialize selection method=last_iterate.
2023-09-11 17:20:29		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:30		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:30		initialize selection method=last_iterate.
2023-09-11 17:20:30		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:32		initialize selection method=last_iterate.
2023-09-11 17:20:32		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:33		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:33		initialize selection method=last_iterate.
2023-09-11 17:20:33		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:35		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:35		initialize selection method=last_iterate.
2023-09-11 17:20:35		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:36		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:36		initialize selection method=last_iterate.
2023-09-11 17:20:36		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:38		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:38		initialize selection method=last_iterate.
2023-09-11 17:20:38		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:39		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:39		initialize selection method=last_iterate.
2023-09-11 17:20:39		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:40		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:40		initialize selection method=last_iterate.
2023-09-11 17:20:40		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:42		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:42		initialize selection method=last_iterate.
2023-09-11 17:20:42		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:44		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:44		initialize selection method=last_iterate.
2023-09-11 17:20:44		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:45		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:45		initialize selection method=last_iterate.
2023-09-11 17:20:45		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:46		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:46		initialize selection method=last_iterate.
2023-09-11 17:20:46		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:48		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:48		initialize selection method=last_iterate.
2023-09-11 17:20:48		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:49		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:49		initialize selection method=last_iterate.
2023-09-11 17:20:49		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:51		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:51		initialize selection method=last_iterate.
2023-09-11 17:20:51		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:52		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:52		initialize selection method=last_iterate.
2023-09-11 17:20:52		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:55		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:55		initialize selection method=last_iterate.
2023-09-11 17:20:55		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:56		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:56		initialize selection method=last_iterate.
2023-09-11 17:20:56		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:57		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:57		initialize selection method=last_iterate.
2023-09-11 17:20:57		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:20:59		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:20:59		initialize selection method=last_iterate.
2023-09-11 17:20:59		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:00		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:00		initialize selection method=last_iterate.
2023-09-11 17:21:00		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:01		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:01		initialize selection method=last_iterate.
2023-09-11 17:21:01		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:03		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:03		initialize selection method=last_iterate.
2023-09-11 17:21:03		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:04		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:04		initialize selection method=last_iterate.
2023-09-11 17:21:04		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:05		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:05		initialize selection method=last_iterate.
2023-09-11 17:21:05		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:07		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:07		initialize selection method=last_iterate.
2023-09-11 17:21:07		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:08		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:08		initialize selection method=last_iterate.
2023-09-11 17:21:08		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:09		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:09		initialize selection method=last_iterate.
2023-09-11 17:21:09		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:11		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:11		initialize selection method=last_iterate.
2023-09-11 17:21:11		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:12		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:12		initialize selection method=last_iterate.
2023-09-11 17:21:12		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:13		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:13		initialize selection method=last_iterate.
2023-09-11 17:21:13		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:15		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:15		initialize selection method=last_iterate.
2023-09-11 17:21:15		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:16		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:16		initialize selection method=last_iterate.
2023-09-11 17:21:16		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:17		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:17		initialize selection method=last_iterate.
2023-09-11 17:21:17		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:19		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:19		initialize selection method=last_iterate.
2023-09-11 17:21:19		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:20		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:20		initialize selection method=last_iterate.
2023-09-11 17:21:20		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:22		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:22		initialize selection method=last_iterate.
2023-09-11 17:21:22		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:23		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:23		initialize selection method=last_iterate.
2023-09-11 17:21:23		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:24		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:24		initialize selection method=last_iterate.
2023-09-11 17:21:24		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:26		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:26		initialize selection method=last_iterate.
2023-09-11 17:21:26		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:27		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:27		initialize selection method=last_iterate.
2023-09-11 17:21:27		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:28		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:28		initialize selection method=last_iterate.
2023-09-11 17:21:28		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:30		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:30		initialize selection method=last_iterate.
2023-09-11 17:21:30		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:31		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:31		initialize selection method=last_iterate.
2023-09-11 17:21:31		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:32		initialize selection method=last_iterate.
2023-09-11 17:21:32		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:34		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:34		initialize selection method=last_iterate.
2023-09-11 17:21:34		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:35		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:35		initialize selection method=last_iterate.
2023-09-11 17:21:35		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:36		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:37		initialize selection method=last_iterate.
2023-09-11 17:21:37		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:38		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:38		initialize selection method=last_iterate.
2023-09-11 17:21:38		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:39		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:39		initialize selection method=last_iterate.
2023-09-11 17:21:39		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:40		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:41		initialize selection method=last_iterate.
2023-09-11 17:21:41		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:42		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:42		initialize selection method=last_iterate.
2023-09-11 17:21:42		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:43		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:43		initialize selection method=last_iterate.
2023-09-11 17:21:43		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:45		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:45		initialize selection method=last_iterate.
2023-09-11 17:21:45		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:46		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:46		initialize selection method=last_iterate.
2023-09-11 17:21:46		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:47		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:47		initialize selection method=last_iterate.
2023-09-11 17:21:47		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:48		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:48		initialize selection method=last_iterate.
2023-09-11 17:21:48		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:50		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:50		initialize selection method=last_iterate.
2023-09-11 17:21:50		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:51		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:51		initialize selection method=last_iterate.
2023-09-11 17:21:51		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:52		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:52		initialize selection method=last_iterate.
2023-09-11 17:21:52		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:54		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:54		initialize selection method=last_iterate.
2023-09-11 17:21:54		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:55		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:55		initialize selection method=last_iterate.
2023-09-11 17:21:55		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:56		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:56		initialize selection method=last_iterate.
2023-09-11 17:21:56		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:58		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:58		initialize selection method=last_iterate.
2023-09-11 17:21:58		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:21:59		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:21:59		initialize selection method=last_iterate.
2023-09-11 17:21:59		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:00		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:00		initialize selection method=last_iterate.
2023-09-11 17:22:00		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:02		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:02		initialize selection method=last_iterate.
2023-09-11 17:22:02		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:03		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:03		initialize selection method=last_iterate.
2023-09-11 17:22:03		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:04		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:04		initialize selection method=last_iterate.
2023-09-11 17:22:04		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:06		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:06		initialize selection method=last_iterate.
2023-09-11 17:22:06		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:07		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:07		initialize selection method=last_iterate.
2023-09-11 17:22:07		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:08		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:08		initialize selection method=last_iterate.
2023-09-11 17:22:08		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:10		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:10		initialize selection method=last_iterate.
2023-09-11 17:22:10		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:11		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:11		initialize selection method=last_iterate.
2023-09-11 17:22:11		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:12		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:12		initialize selection method=last_iterate.
2023-09-11 17:22:12		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:13		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:13		initialize selection method=last_iterate.
2023-09-11 17:22:13		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:15		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:15		initialize selection method=last_iterate.
2023-09-11 17:22:15		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:16		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:16		initialize selection method=last_iterate.
2023-09-11 17:22:16		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:17		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:17		initialize selection method=last_iterate.
2023-09-11 17:22:17		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:19		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:19		initialize selection method=last_iterate.
2023-09-11 17:22:19		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:20		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:20		initialize selection method=last_iterate.
2023-09-11 17:22:20		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:21		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:21		initialize selection method=last_iterate.
2023-09-11 17:22:21		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:23		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:23		initialize selection method=last_iterate.
2023-09-11 17:22:23		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:24		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:24		initialize selection method=last_iterate.
2023-09-11 17:22:24		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:25		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:25		initialize selection method=last_iterate.
2023-09-11 17:22:25		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:27		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:27		initialize selection method=last_iterate.
2023-09-11 17:22:27		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:28		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:28		initialize selection method=last_iterate.
2023-09-11 17:22:28		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:29		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:29		initialize selection method=last_iterate.
2023-09-11 17:22:29		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:31		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:31		initialize selection method=last_iterate.
2023-09-11 17:22:31		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:32		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:32		initialize selection method=last_iterate.
2023-09-11 17:22:32		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:33		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:33		initialize selection method=last_iterate.
2023-09-11 17:22:33		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:35		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:35		initialize selection method=last_iterate.
2023-09-11 17:22:35		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:36		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:36		initialize selection method=last_iterate.
2023-09-11 17:22:36		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:37		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:37		initialize selection method=last_iterate.
2023-09-11 17:22:37		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:38		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:38		initialize selection method=last_iterate.
2023-09-11 17:22:38		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:40		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:40		initialize selection method=last_iterate.
2023-09-11 17:22:40		adapt the model for 1 steps with lr=0.001.
2023-09-11 17:22:41		select the optimal model (1-th step and lr=0.001) for the current mini-batch.
2023-09-11 17:22:41		initialize selection method=last_iterate.
